# <id> <t.x> <t.y> <t.z> <width> <angle>
0 -0.0329353 -0.00705235 0 0.01 -90.0
1 -0.0328244 0.0113202 0 0.01 -90.0
2 0.0579727 -0.0245954 0 0.015 -70.0
3 0.0578563 0.0248681 0 0.015 -23.7513
4 0.0245937 0.0579734 0 0.015 20.0016
5 -0.0247982 0.0578862 0 0.015 66.1796
6 -0.0580701 0.0243646 0 0.015 110.228
7 -0.0602184 -0.0184259 0 0.015 150.003
8 -0.02816 -0.0563274 0 0.015 -163.573
9 0.0245422 -0.0579952 0 0.015 -114.074
10 0.000692388 -0.0341387 0 0.016 -90.0
